population,relationship_tested,loci_set,proportion_exceeding_fixed,proportion_exceeding_1,proportion_exceeding_0_1,proportion_exceeding_0_01,n_related
Cauc,full_siblings,supplementary,0.429,0.401166666666667,0.371833333333333,0.353833333333333,6000
Cauc,half_siblings,supplementary,0.574666666666667,0.502,0.445,0.411333333333333,6000
Cauc,cousins,supplementary,0.752166666666667,0.478333333333333,0.294333333333333,0.1745,6000
Cauc,second_cousins,supplementary,0.782333333333333,0.372,0.0923333333333333,0.0295,6000
Hispanic,parent_child,supplementary,0.174,0.174,0.174,0.174,6000
Hispanic,full_siblings,supplementary,0.424,0.393833333333333,0.365166666666667,0.336,6000
Hispanic,half_siblings,supplementary,0.579,0.501666666666667,0.438333333333333,0.374,6000
Hispanic,cousins,supplementary,0.749333333333333,0.4635,0.27,0.0713333333333333,6000
Hispanic,second_cousins,supplementary,0.778666666666667,0.3465,0.059,0.00266666666666667,6000
Asian,parent_child,supplementary,0.178166666666667,0.178166666666667,0.178166666666667,0.178166666666667,6000
Asian,full_siblings,supplementary,0.422,0.387833333333333,0.361666666666667,0.324833333333333,6000
Asian,half_siblings,supplementary,0.588333333333333,0.4935,0.44,0.371833333333333,6000
Asian,cousins,supplementary,0.773,0.442666666666667,0.283166666666667,0.07,6000
Asian,second_cousins,supplementary,0.805166666666667,0.291,0.0656666666666667,0.00116666666666667,6000
AfAm,parent_child,autosomal_29,0.170666666666667,0.170666666666667,0.170666666666667,0.170666666666667,6000
AfAm,full_siblings,autosomal_29,0.450166666666667,0.412833333333333,0.379,0.3585,6000
AfAm,half_siblings,autosomal_29,0.621333333333333,0.536,0.466166666666667,0.423666666666667,6000
AfAm,cousins,autosomal_29,0.833166666666667,0.488666666666667,0.310666666666667,0.1425,6000
AfAm,second_cousins,autosomal_29,0.864,0.3655,0.063,0.00733333333333333,6000
Cauc,parent_child,autosomal_29,0.169,0.169,0.169,0.169,6000
Cauc,full_siblings,autosomal_29,0.4255,0.400666666666667,0.376166666666667,0.355,6000
Cauc,half_siblings,autosomal_29,0.570666666666667,0.507166666666667,0.455333333333333,0.407166666666667,6000
Cauc,cousins,autosomal_29,0.7685,0.492666666666667,0.338,0.160833333333333,6000
Cauc,second_cousins,autosomal_29,0.805166666666667,0.399,0.123333333333333,0.0198333333333333,6000
Hispanic,parent_child,autosomal_29,0.1715,0.1715,0.1715,0.1715,6000
Hispanic,full_siblings,autosomal_29,0.420166666666667,0.396333333333333,0.375666666666667,0.353666666666667,6000
Hispanic,half_siblings,autosomal_29,0.570166666666667,0.510833333333333,0.4695,0.414666666666667,6000
Hispanic,cousins,autosomal_29,0.7545,0.498833333333333,0.379166666666667,0.194833333333333,6000
Hispanic,second_cousins,autosomal_29,0.7875,0.410833333333333,0.1695,0.0195,6000
Asian,parent_child,autosomal_29,0.172333333333333,0.172333333333333,0.172333333333333,0.172333333333333,6000
Asian,full_siblings,autosomal_29,0.430666666666667,0.3885,0.365333333333333,0.350333333333333,6000
Asian,half_siblings,autosomal_29,0.61,0.501166666666667,0.439333333333333,0.410333333333333,6000
Asian,cousins,autosomal_29,0.829666666666667,0.449333333333333,0.274166666666667,0.171166666666667,6000
Asian,second_cousins,autosomal_29,0.861166666666667,0.287166666666667,0.0491666666666667,0.0105,6000
