"population","relationship_type","sim_id","locus","loci_set","combined_LR"
"all","full_siblings",2,"Penta_D","core_13",1
"all","full_siblings",2,"Penta_E","core_13",1
"all","full_siblings",2,"SE33","core_13",1
"all","full_siblings",2,"TH01","core_13",1
"all","full_siblings",2,"TPOX","core_13",0.761363636363637
"all","full_siblings",2,"vWA","core_13",2.15791896869245
"all","half_siblings",1,"CSF1PO","core_13",1.22549019607843
"all","half_siblings",1,"D10S1248","core_13",1
"all","half_siblings",1,"D12S391","core_13",1
"all","half_siblings",1,"D13S317","core_13",0.930232558139534
"all","half_siblings",1,"D16S539","core_13",1.89881393624907
"all","half_siblings",1,"D18S51","core_13",2.18729641693811
"all","half_siblings",1,"D19S433","core_13",1
"all","half_siblings",1,"D1S1656","core_13",1
"all","half_siblings",1,"D21S11","core_13",0.5
"all","half_siblings",1,"D22S1045","core_13",1
"all","half_siblings",1,"D2S1338","core_13",1
"all","half_siblings",1,"D2S441","core_13",1
"all","half_siblings",1,"D3S1358","core_13",0.9419795221843
"all","half_siblings",1,"D5S818","core_13",3.71739130434783
"all","half_siblings",1,"D6S1043","core_13",1
"all","half_siblings",1,"D7S820","core_13",1.25510204081632
"all","half_siblings",1,"D8S1179","core_13",1.43165467625899
"all","half_siblings",1,"F13A01","core_13",1
"all","half_siblings",1,"F13B","core_13",1
"all","half_siblings",1,"FESFPS","core_13",1
"all","half_siblings",1,"FGA","core_13",1.74519230769231
"all","half_siblings",1,"LPL","core_13",1
"all","half_siblings",1,"Penta_C","core_13",1
"all","half_siblings",1,"Penta_D","core_13",1
"all","half_siblings",1,"Penta_E","core_13",1
"all","half_siblings",1,"SE33","core_13",1
"all","half_siblings",1,"TH01","core_13",1
"all","half_siblings",1,"TPOX","core_13",1.01136363636364
"all","half_siblings",1,"vWA","core_13",1.58595387840671
"all","half_siblings",2,"CSF1PO","core_13",1.40120663650075
"all","half_siblings",2,"D10S1248","core_13",1
"all","half_siblings",2,"D12S391","core_13",1
"all","half_siblings",2,"D13S317","core_13",2.22093023255814
"all","half_siblings",2,"D16S539","core_13",6.25555555555556
"all","half_siblings",2,"D18S51","core_13",0.5
"all","half_siblings",2,"D19S433","core_13",1
"all","half_siblings",2,"D1S1656","core_13",1
"all","half_siblings",2,"D21S11","core_13",0.5
"all","half_siblings",2,"D22S1045","core_13",1
"all","half_siblings",2,"D2S1338","core_13",1
"all","half_siblings",2,"D2S441","core_13",1
"all","half_siblings",2,"D3S1358","core_13",0.910459587955625
"all","half_siblings",2,"D5S818","core_13",0.5
"all","half_siblings",2,"D6S1043","core_13",1
"all","half_siblings",2,"D7S820","core_13",1.52777777777777
"all","half_siblings",2,"D8S1179","core_13",1.03512396694215
"all","half_siblings",2,"F13A01","core_13",1
"all","half_siblings",2,"F13B","core_13",1
"all","half_siblings",2,"FESFPS","core_13",1
"all","half_siblings",2,"FGA","core_13",1.30185758513932
"all","half_siblings",2,"LPL","core_13",1
"all","half_siblings",2,"Penta_C","core_13",1
"all","half_siblings",2,"Penta_D","core_13",1
"all","half_siblings",2,"Penta_E","core_13",1
"all","half_siblings",2,"SE33","core_13",1
"all","half_siblings",2,"TH01","core_13",1
"all","half_siblings",2,"TPOX","core_13",1.52272727272727
"all","half_siblings",2,"vWA","core_13",1.45395948434622
"all","cousins",1,"CSF1PO","core_13",1.00961538461538
"all","cousins",1,"D10S1248","core_13",1
"all","cousins",1,"D12S391","core_13",1
"all","cousins",1,"D13S317","core_13",0.875
"all","cousins",1,"D16S539","core_13",0.875
"all","cousins",1,"D18S51","core_13",1.17338709677419
"all","cousins",1,"D19S433","core_13",1
"all","cousins",1,"D1S1656","core_13",1
"all","cousins",1,"D21S11","core_13",0.875
"all","cousins",1,"D22S1045","core_13",1
"all","cousins",1,"D2S1338","core_13",1
"all","cousins",1,"D2S441","core_13",1
"all","cousins",1,"D3S1358","core_13",0.875
"all","cousins",1,"D5S818","core_13",1.27717391304348
"all","cousins",1,"D6S1043","core_13",1
"all","cousins",1,"D7S820","core_13",0.875
"all","cousins",1,"D8S1179","core_13",1.31774668630339
"all","cousins",1,"F13A01","core_13",1
"all","cousins",1,"F13B","core_13",1
"all","cousins",1,"FESFPS","core_13",1
"all","cousins",1,"FGA","core_13",1.03331295843521
"all","cousins",1,"LPL","core_13",1
"all","cousins",1,"Penta_C","core_13",1
"all","cousins",1,"Penta_D","core_13",1
"all","cousins",1,"Penta_E","core_13",1
"all","cousins",1,"SE33","core_13",1
"all","cousins",1,"TH01","core_13",1
"all","cousins",1,"TPOX","core_13",1.14313471502591
"all","cousins",1,"vWA","core_13",0.994244935543278
"all","cousins",2,"CSF1PO","core_13",1.05637254901961
"all","cousins",2,"D10S1248","core_13",1
"all","cousins",2,"D12S391","core_13",1
"all","cousins",2,"D13S317","core_13",1.7268110130981
"all","cousins",2,"D16S539","core_13",1.11842105263158
"all","cousins",2,"D18S51","core_13",1.0621387283237
"all","cousins",2,"D19S433","core_13",1
"all","cousins",2,"D1S1656","core_13",1
"all","cousins",2,"D21S11","core_13",0.875
"all","cousins",2,"D22S1045","core_13",1
"all","cousins",2,"D2S1338","core_13",1
"all","cousins",2,"D2S441","core_13",1
"all","cousins",2,"D3S1358","core_13",0.985494880546075
"all","cousins",2,"D5S818","core_13",0.974006116207951
"all","cousins",2,"D6S1043","core_13",1
"all","cousins",2,"D7S820","core_13",0.980973813420622
"all","cousins",2,"D8S1179","core_13",1.0952380952381
"all","cousins",2,"F13A01","core_13",1
"all","cousins",2,"F13B","core_13",1
"all","cousins",2,"FESFPS","core_13",1
"all","cousins",2,"FGA","core_13",0.875
"all","cousins",2,"LPL","core_13",1
"all","cousins",2,"Penta_C","core_13",1
"all","cousins",2,"Penta_D","core_13",1
"all","cousins",2,"Penta_E","core_13",1
"all","cousins",2,"SE33","core_13",1
"all","cousins",2,"TH01","core_13",1
"all","cousins",2,"TPOX","core_13",0.875
"all","cousins",2,"vWA","core_13",1.14648846960168
"all","second_cousins",1,"CSF1PO","core_13",0.982843137254902
"all","second_cousins",1,"D10S1248","core_13",1
"all","second_cousins",1,"D12S391","core_13",1
"all","second_cousins",1,"D13S317","core_13",1.099375
"all","second_cousins",1,"D16S539","core_13",1.12963649851632
"all","second_cousins",1,"D18S51","core_13",0.9375
"all","second_cousins",1,"D19S433","core_13",1
"all","second_cousins",1,"D1S1656","core_13",1
"all","second_cousins",1,"D21S11","core_13",0.9375
"all","second_cousins",1,"D22S1045","core_13",1
"all","second_cousins",1,"D2S1338","core_13",1
"all","second_cousins",1,"D2S441","core_13",1
"all","second_cousins",1,"D3S1358","core_13",0.988807448494453
"all","second_cousins",1,"D5S818","core_13",1.27473958333333
"all","second_cousins",1,"D6S1043","core_13",1
"all","second_cousins",1,"D7S820","core_13",1.00411522633745
"all","second_cousins",1,"D8S1179","core_13",0.9375
"all","second_cousins",1,"F13A01","core_13",1
"all","second_cousins",1,"F13B","core_13",1
"all","second_cousins",1,"FESFPS","core_13",1
"all","second_cousins",1,"FGA","core_13",1.19338123660395
"all","second_cousins",1,"LPL","core_13",1
"all","second_cousins",1,"Penta_C","core_13",1
"all","second_cousins",1,"Penta_D","core_13",1
"all","second_cousins",1,"Penta_E","core_13",1
"all","second_cousins",1,"SE33","core_13",1
"all","second_cousins",1,"TH01","core_13",1
"all","second_cousins",1,"TPOX","core_13",0.9375
"all","second_cousins",1,"vWA","core_13",1.13611963190184
"all","second_cousins",2,"CSF1PO","core_13",0.994598765432099
"all","second_cousins",2,"D10S1248","core_13",1
"all","second_cousins",2,"D12S391","core_13",1
"all","second_cousins",2,"D13S317","core_13",0.991279069767442
"all","second_cousins",2,"D16S539","core_13",0.9375
"all","second_cousins",2,"D18S51","core_13",0.9375
"all","second_cousins",2,"D19S433","core_13",1
"all","second_cousins",2,"D1S1656","core_13",1
"all","second_cousins",2,"D21S11","core_13",0.9375
"all","second_cousins",2,"D22S1045","core_13",1
"all","second_cousins",2,"D2S1338","core_13",1
"all","second_cousins",2,"D2S441","core_13",1
"all","second_cousins",2,"D3S1358","core_13",1.04799488054608
"all","second_cousins",2,"D5S818","core_13",1.03650611620795
"all","second_cousins",2,"D6S1043","core_13",1
"all","second_cousins",2,"D7S820","core_13",1.00411522633745
"all","second_cousins",2,"D8S1179","core_13",0.995728417266187
"all","second_cousins",2,"F13A01","core_13",1
"all","second_cousins",2,"F13B","core_13",1
"all","second_cousins",2,"FESFPS","core_13",1
"all","second_cousins",2,"FGA","core_13",1.0166564792176
"all","second_cousins",2,"LPL","core_13",1
"all","second_cousins",2,"Penta_C","core_13",1
"all","second_cousins",2,"Penta_D","core_13",1
"all","second_cousins",2,"Penta_E","core_13",1
"all","second_cousins",2,"SE33","core_13",1
"all","second_cousins",2,"TH01","core_13",1
"all","second_cousins",2,"TPOX","core_13",0.971016839378238
"all","second_cousins",2,"vWA","core_13",1.00537211740042
"all","unrelated",1,"CSF1PO","core_13",1
"all","unrelated",1,"D10S1248","core_13",1
"all","unrelated",1,"D12S391","core_13",1
"all","unrelated",1,"D13S317","core_13",1
"all","unrelated",1,"D16S539","core_13",1
"all","unrelated",1,"D18S51","core_13",1
"all","unrelated",1,"D19S433","core_13",1
"all","unrelated",1,"D1S1656","core_13",1
"all","unrelated",1,"D21S11","core_13",1
