allele,marker,frequency,population
7,D6S1043,0,Asian
7,D7S820,0.00515463917525773,Asian
7,D8S1179,0,Asian
7,F13A01,0.0154639175257732,Asian
7,F13B,0.00515463917525773,Asian
7,FESFPS,0,Asian
7,FGA,0,Asian
7,LPL,0.00515463917525773,Asian
7,Penta_C,0.00515463917525773,Asian
7,Penta_D,0,Asian
7,Penta_E,0,Asian
7,SE33,0,Asian
7,TH01,0.268041237113402,Asian
7,TPOX,0,Asian
7,vWA,0,Asian
8,CSF1PO,0,Asian
8,D10S1248,0,Asian
8,D12S391,0,Asian
8,D13S317,0.216494845360825,Asian
8,D16S539,0,Asian
8,D18S51,0,Asian
8,D19S433,0,Asian
8,D1S1656,0,Asian
8,D21S11,0,Asian
8,D22S1045,0,Asian
8,D2S1338,0,Asian
8,D2S441,0.00515463917525773,Asian
8,D3S1358,0,Asian
8,D5S818,0.00515463917525773,Asian
8,D6S1043,0,Asian
8,D7S820,0.134020618556701,Asian
8,D8S1179,0,Asian
8,F13A01,0,Asian
8,F13B,0.0463917525773196,Asian
8,FESFPS,0,Asian
8,FGA,0,Asian
8,LPL,0,Asian
8,Penta_C,0.0670103092783505,Asian
8,Penta_D,0.00515463917525773,Asian
8,Penta_E,0.00515463917525773,Asian
8,SE33,0,Asian
8,TH01,0.0721649484536082,Asian
8,TPOX,0.54639175257732,Asian
8,vWA,0,Asian
8.1,CSF1PO,0,Asian
8.1,D10S1248,0,Asian
8.1,D12S391,0,Asian
8.1,D13S317,0,Asian
8.1,D16S539,0,Asian
8.1,D18S51,0,Asian
8.1,D19S433,0,Asian
8.1,D1S1656,0,Asian
8.1,D21S11,0,Asian
8.1,D22S1045,0,Asian
8.1,D2S1338,0,Asian
8.1,D2S441,0,Asian
8.1,D3S1358,0,Asian
8.1,D5S818,0,Asian
8.1,D6S1043,0,Asian
8.1,D7S820,0,Asian
8.1,D8S1179,0,Asian
8.1,F13A01,0,Asian
8.1,F13B,0,Asian
8.1,FESFPS,0,Asian
8.1,FGA,0,Asian
8.1,LPL,0,Asian
8.1,Penta_C,0,Asian
8.1,Penta_D,0,Asian
8.1,Penta_E,0,Asian
8.1,SE33,0,Asian
8.1,TH01,0,Asian
8.1,TPOX,0,Asian
8.1,vWA,0,Asian
9,CSF1PO,0.0670103092783505,Asian
9,D10S1248,0,Asian
9,D12S391,0,Asian
9,D13S317,0.144329896907216,Asian
9,D16S539,0.355670103092784,Asian
9,D18S51,0,Asian
9,D19S433,0,Asian
9,D1S1656,0,Asian
9,D21S11,0,Asian
9,D22S1045,0,Asian
9,D2S1338,0,Asian
9,D2S441,0,Asian
9,D3S1358,0,Asian
9,D5S818,0.0979381443298969,Asian
9,D6S1043,0,Asian
9,D7S820,0.0463917525773196,Asian
9,D8S1179,0,Asian
9,F13A01,0,Asian
9,F13B,0.195876288659794,Asian
9,FESFPS,0.0154639175257732,Asian
9,FGA,0,Asian
9,LPL,0.00515463917525773,Asian
9,Penta_C,0.355670103092784,Asian
9,Penta_D,0.314432989690722,Asian
9,Penta_E,0.0257731958762887,Asian
9,SE33,0,Asian
9,TH01,0.443298969072165,Asian
9,TPOX,0.0824742268041237,Asian
9,vWA,0,Asian
9.1,CSF1PO,0,Asian
9.1,D10S1248,0,Asian
9.1,D12S391,0,Asian
9.1,D13S317,0,Asian
9.1,D16S539,0,Asian
9.1,D18S51,0,Asian
9.1,D19S433,0,Asian
9.1,D1S1656,0,Asian
9.1,D21S11,0,Asian
9.1,D22S1045,0,Asian
9.1,D2S1338,0,Asian
9.1,D2S441,0.00515463917525773,Asian
9.1,D3S1358,0,Asian
9.1,D5S818,0,Asian
9.1,D6S1043,0,Asian
9.1,D7S820,0,Asian
9.1,D8S1179,0,Asian
9.1,F13A01,0,Asian
9.1,F13B,0,Asian
9.1,FESFPS,0,Asian
9.1,FGA,0,Asian
9.1,LPL,0,Asian
9.1,Penta_C,0,Asian
9.1,Penta_D,0,Asian
9.1,Penta_E,0,Asian
9.1,SE33,0,Asian
9.1,TH01,0,Asian
9.1,TPOX,0,Asian
9.1,vWA,0,Asian
9.3,CSF1PO,0,Asian
9.3,D10S1248,0,Asian
9.3,D12S391,0,Asian
9.3,D13S317,0,Asian
9.3,D16S539,0,Asian
9.3,D18S51,0,Asian
9.3,D19S433,0,Asian
9.3,D1S1656,0,Asian
9.3,D21S11,0,Asian
9.3,D22S1045,0,Asian
9.3,D2S1338,0,Asian
9.3,D2S441,0,Asian
9.3,D3S1358,0,Asian
9.3,D5S818,0,Asian
9.3,D6S1043,0,Asian
9.3,D7S820,0,Asian
9.3,D8S1179,0,Asian
9.3,F13A01,0,Asian
9.3,F13B,0,Asian
9.3,FESFPS,0,Asian
9.3,FGA,0,Asian
9.3,LPL,0,Asian
9.3,Penta_C,0,Asian
9.3,Penta_D,0,Asian
9.3,Penta_E,0,Asian
9.3,SE33,0,Asian
9.3,TH01,0.0412371134020619,Asian
9.3,TPOX,0,Asian
9.3,vWA,0,Asian
10,CSF1PO,0.201030927835052,Asian
10,D10S1248,0.00515463917525773,Asian
10,D12S391,0,Asian
