"population","relationship_type","sim_id","loci_set","combined_LR"
"Asian","second_cousins",2,"supplementary",0.821860110698498
"Asian","second_cousins",2,"autosomal_29",0.872674949278025
"Asian","unrelated",1,"core_13",1
"Asian","unrelated",1,"identifiler_15",1
"Asian","unrelated",1,"expanded_20",1
"Asian","unrelated",1,"supplementary",1
"Asian","unrelated",1,"autosomal_29",1
"Asian","unrelated",2,"core_13",1
"Asian","unrelated",2,"identifiler_15",1
"Asian","unrelated",2,"expanded_20",1
"Asian","unrelated",2,"supplementary",1
"Asian","unrelated",2,"autosomal_29",1
"Asian","unrelated",3,"core_13",1
"Asian","unrelated",3,"identifiler_15",1
"Asian","unrelated",3,"expanded_20",1
"Asian","unrelated",3,"supplementary",1
"Asian","unrelated",3,"autosomal_29",1
"Asian","unrelated",4,"core_13",1
"Asian","unrelated",4,"identifiler_15",1
"Asian","unrelated",4,"expanded_20",1
"Asian","unrelated",4,"supplementary",1
"Asian","unrelated",4,"autosomal_29",1
"Asian","unrelated",5,"core_13",1
"Asian","unrelated",5,"identifiler_15",1
"Asian","unrelated",5,"expanded_20",1
"Asian","unrelated",5,"supplementary",1
"Asian","unrelated",5,"autosomal_29",1
"Cauc","cousins",1,"core_13",0.897857880535456
"Cauc","cousins",1,"identifiler_15",0.687422439784958
"Cauc","cousins",1,"expanded_20",1.08038758472321
"Cauc","cousins",1,"supplementary",0.723775276484496
"Cauc","cousins",1,"autosomal_29",1.39568888392616
"Cauc","cousins",2,"core_13",1.41528472367701
"Cauc","cousins",2,"identifiler_15",2.81816407293334
"Cauc","cousins",2,"expanded_20",2.1198395304601
"Cauc","cousins",2,"supplementary",5.81066853716815
"Cauc","cousins",2,"autosomal_29",7.42954879134519
"Cauc","full_siblings",1,"core_13",2.18804778287977
"Cauc","full_siblings",1,"identifiler_15",40.4388765906347
"Cauc","full_siblings",1,"expanded_20",914.086515174909
"Cauc","full_siblings",1,"supplementary",53653.6751313119
"Cauc","full_siblings",1,"autosomal_29",1007412.83279746
"Cauc","full_siblings",2,"core_13",22671.0188965003
"Cauc","full_siblings",2,"identifiler_15",71303.7253838101
"Cauc","full_siblings",2,"expanded_20",8873315.79831521
"Cauc","full_siblings",2,"supplementary",235848043.334952
"Cauc","full_siblings",2,"autosomal_29",37413973.8732431
"Cauc","half_siblings",1,"core_13",646.717938335796
"Cauc","half_siblings",1,"identifiler_15",6032.64199214381
"Cauc","half_siblings",1,"expanded_20",3748.16363296351
"Cauc","half_siblings",1,"supplementary",48218.4681754938
"Cauc","half_siblings",1,"autosomal_29",604881.443206174
"Cauc","half_siblings",2,"core_13",44.2032980798537
"Cauc","half_siblings",2,"identifiler_15",406.622921171964
"Cauc","half_siblings",2,"expanded_20",100681.642294124
"Cauc","half_siblings",2,"supplementary",312752.304952834
"Cauc","half_siblings",2,"autosomal_29",90019668.4699786
