ID1	POP1	ID2	POP2	IBD_CM_SUM
HG03352	ESN	HG03370	ESN	19.8756
HG00325	FIN	HG00373	FIN	19.41422
HG01149	CLM	HG01497	CLM	19.34167
HG01058	PUR	HG01088	PUR	42.90947
HG01164	PUR	HG01392	PUR	24.5606
HG00187	FIN	HG00369	FIN	25.57323
HG00743	PUR	HG01177	PUR	44.2878
HG00187	FIN	HG00381	FIN	18.56238
HG01125	CLM	HG01130	CLM	26.97861
HG01989	ACB	HG02419	ACB	6.902431
HG01086	PUR	HG01403	PUR	23.45519
HG01250	CLM	HG01251	CLM	37.6416
HG00743	PUR	HG01054	PUR	80.43847
HG01086	PUR	HG01204	PUR	12.95448
HG00743	PUR	HG01070	PUR	77.9028
NA19391	LWK	NA19456	LWK	6.529572
HG00743	PUR	HG01069	PUR	109.5523
HG01250	CLM	HG01383	CLM	52.72799
HG01125	CLM	HG01489	CLM	39.8673
HG00743	PUR	HG01162	PUR	20.58096
HG03896	STU	HG03995	STU	158.0376
HG01353	CLM	HG01431	CLM	19.67387
HG01149	CLM	HG01362	CLM	21.77342
HG01989	ACB	HG01990	ACB	11.06644
HG01631	IBS	HG02236	IBS	9.954727
HG00187	FIN	HG00355	FIN	18.67899
HG01125	CLM	HG01133	CLM	18.283
HG01125	CLM	HG01256	CLM	30.97334
HG01111	PUR	HG01204	PUR	45.37678
HG01086	PUR	HG01191	PUR	67.80311
HG00187	FIN	HG00278	FIN	29.16105
HG01086	PUR	HG01092	PUR	47.76786
HG01058	PUR	HG01177	PUR	33.72758
HG01149	CLM	HG01491	CLM	15.94333
HG00743	PUR	HG01197	PUR	26.13097
HG01149	CLM	HG01350	CLM	53.67831
HG03861	ITU	HG04026	ITU	11.60009
HG01250	CLM	HG01474	CLM	41.21737
HG02816	GWD	HG02817	GWD	5.858582
HG01125	CLM	HG01479	CLM	57.32042
HG01149	CLM	HG01492	CLM	5.93576
HG00743	PUR	HG01190	PUR	64.92453
HG01164	PUR	HG01197	PUR	21.56726
HG01142	CLM	HG01474	CLM	27.48037
