ID1	POP1	ID2	POP2	IBD_CM_SUM
NA20853	GIH	NA21122	GIH	6.143188
HG00114	GBR	HG00117	GBR	13.68814
HG00739	PUR	HG01097	PUR	22.19939
NA20853	GIH	NA21086	GIH	5.76503
HG02461	GWD	HG02595	GWD	7.248535
HG01254	CLM	HG01456	CLM	5.116247
HG03055	MSL	HG03209	MSL	18.50851
HG01914	ACB	HG02339	ACB	8.605179
HG01080	PUR	HG01110	PUR	5.437103
HG01794	CDX	HG02187	CDX	5.244797
HG00551	PUR	HG01104	PUR	62.68338
HG03055	MSL	HG03449	MSL	6.097244
HG01049	PUR	HG01098	PUR	50.46126
NA19445	LWK	NA19461	LWK	5.086197
NA21109	GIH	NA21128	GIH	5.12738
HG02944	ESN	HG03163	ESN	5.568626
HG03224	MSL	HG03578	MSL	5.16584
HG00551	PUR	HG01054	PUR	33.86108
HG01254	CLM	HG01494	CLM	11.2266
HG01914	ACB	HG02095	ACB	6.467255
NA20853	GIH	NA21142	GIH	5.004913
NA20864	GIH	NA20881	GIH	12.13976
HG00288	FIN	HG00349	FIN	16.98814
NA21109	GIH	NA21113	GIH	5.134033
NA20884	GIH	NA20889	GIH	15.7896
HG00131	GBR	HG00139	GBR	8.97821
HG01254	CLM	HG01377	CLM	5.037712
HG03209	MSL	HG03563	MSL	6.759964
HG01456	CLM	HG01495	CLM	15.92928
NA20884	GIH	NA21104	GIH	20.03197
HG00551	PUR	HG01170	PUR	41.53478
HG01254	CLM	HG01491	CLM	18.31628
HG00739	PUR	HG01188	PUR	6.289856
HG01080	PUR	HG01405	PUR	29.99281
NA20505	TSI	NA20801	TSI	5.688334
HG00978	CDX	HG02409	CDX	11.09299
NA20853	GIH	NA21102	GIH	17.40946
HG01794	CDX	HG02182	CDX	7.00016
HG00551	PUR	HG01101	PUR	18.52392
HG00733	PUR	HG00742	PUR	52.40389
NA19660	MXL	NA19681	MXL	6.832703
HG01312	PUR	HG01405	PUR	34.9893
HG03363	ESN	NA18870	YRI	42.22102
HG00284	FIN	HG00357	FIN	18.30113
HG01095	PUR	HG01162	PUR	6.829071
HG01847	KHV	HG02070	KHV	13.34333
HG00708	CHS	HG02029	KHV	6.617912
HG00867	CDX	HG01797	CDX	8.065414
HG01190	PUR	HG01248	PUR	6.515518
HG00733	PUR	HG01198	PUR	18.65434
HG02623	GWD	HG02757	GWD	6.105087
HG02318	ACB	HG02496	ACB	9.110779
HG00733	PUR	HG01414	PUR	34.2991
HG00337	FIN	HG00345	FIN	5.408234
HG01190	PUR	HG01412	PUR	59.03793
HG03054	MSL	HG03082	MSL	6.448746
HG00281	FIN	HG00339	FIN	11.41584
HG00733	PUR	HG01049	PUR	7.543762
HG01113	CLM	HG01259	CLM	20.48261
HG00284	FIN	HG00384	FIN	17.28864
HG00281	FIN	HG00382	FIN	6.710262
HG02166	CDX	HG02410	CDX	10.72161
NA18510	YRI	NA18870	YRI	9.561142
NA20532	TSI	NA20770	TSI	30.54053
HG01527	IBS	HG01668	IBS	6.376221
HG02623	GWD	HG02807	GWD	5.058174
HG00867	CDX	HG02156	CDX	11.60159
HG03012	BEB	HG03823	BEB	5.256897
HG00337	FIN	HG00364	FIN	7.259354
HG03103	ESN	HG03352	ESN	5.566193
HG00284	FIN	HG00355	FIN	10.71931
HG01325	PUR	HG01405	PUR	24.46468
HG03103	ESN	HG03163	ESN	52.1425
HG03796	BEB	NA21098	GIH	5.706675
HG00281	FIN	HG00364	FIN	10.90151
HG01961	PEL	HG02105	PEL	5.26329
HG03054	MSL	HG03458	MSL	8.034058
HG01312	PUR	HG01395	PUR	14.07392
HG03780	ITU	HG03871	ITU	9.466133
HG03556	MSL	HG03559	MSL	25.4448
NA20532	TSI	NA20807	TSI	9.174484
HG01325	PUR	NA19669	MXL	5.622536
HG00288	FIN	HG00313	FIN	22.93142
HG00278	FIN	HG00328	FIN	11.33775
HG01190	PUR	HG01241	PUR	5.039911
HG00867	CDX	HG02391	CDX	11.18291
HG01102	PUR	HG01242	PUR	5.173615
HG02613	GWD	HG02675	GWD	7.950386
HG04018	ITU	HG04212	ITU	7.88414
HG01257	CLM	HG01488	CLM	26.14617
NA21093	GIH	NA21144	GIH	18.49929
NA20853	GIH	NA20871	GIH	11.1623
HG00278	FIN	HG00282	FIN	12.70025
HG00337	FIN	HG00381	FIN	8.56987
HG00281	FIN	HG00355	FIN	5.587418
HG02944	ESN	HG03511	ESN	5.436897
HG01312	PUR	HG01323	PUR	36.01299
HG03105	ESN	HG03159	ESN	8.24469
NA19027	LWK	NA19030	LWK	12.40157
HG01105	PUR	HG01191	PUR	13.03414
HG01519	IBS	HG01531	IBS	6.004581
HG02013	ACB	HG02439	ACB	11.99056
HG01105	PUR	HG01170	PUR	22.7416
HG01170	PUR	HG01197	PUR	6.91626
HG03644	STU	HG03745	STU	14.29547
HG00099	GBR	HG00120	GBR	19.51622
HG01105	PUR	HG01323	PUR	39.42023
HG02462	GWD	HG02645	GWD	53.53984
HG01383	CLM	HG01497	CLM	24.49457
HG02262	PEL	NA19777	MXL	5.362576
HG01113	CLM	HG01148	CLM	28.88863
HG01174	PUR	HG01305	PUR	11.59124
HG01095	PUR	HG01204	PUR	19.66248
HG01961	PEL	HG02271	PEL	10.8032
NA19027	LWK	NA19310	LWK	24.81058
NA19027	LWK	NA19031	LWK	24.43373
HG01113	CLM	HG01139	CLM	22.75855
HG03057	MSL	HG03380	MSL	5.962509
HG01170	PUR	HG01174	PUR	32.92301
HG01095	PUR	HG01183	PUR	61.87496
HG03103	ESN	HG03127	ESN	12.87318
NA19027	LWK	NA19320	LWK	10.84543
HG03103	ESN	HG03133	ESN	21.86919
HG03103	ESN	HG03268	ESN	5.481445
HG01174	PUR	HG01176	PUR	41.7102
HG02013	ACB	HG02339	ACB	25.24144
HG00613	CHS	HG00619	CHS	28.73045
HG00566	CHS	HG00634	CHS	5.985352
HG00099	GBR	HG00118	GBR	6.17857
HG00338	FIN	HG00373	FIN	10.73193
HG00112	GBR	HG00119	GBR	38.34478
NA21123	GIH	NA21129	GIH	34.27334
HG00097	GBR	HG00100	GBR	31.67524
HG01170	PUR	HG01402	PUR	43.22783
HG02623	GWD	HG02813	GWD	15.92785
HG01704	IBS	NA20515	TSI	5.111507
HG00100	GBR	HG00102	GBR	25.00382
HG03644	STU	HG03986	STU	25.25151
HG01095	PUR	HG01187	PUR	32.42225
HG01174	PUR	HG01302	PUR	27.11674
HG00733	PUR	HG01105	PUR	5.226089
HG03103	ESN	NA19909	ASW	5.35351
HG00867	CDX	HG01806	CDX	5.031281
HG01113	CLM	HG01497	CLM	52.92903
HG00867	CDX	HG01029	CDX	20.95711
HG03895	STU	HG04200	ITU	6.506324
HG02262	PEL	HG02301	PEL	6.019424
HG02623	GWD	HG02884	GWD	5.082199
NA19027	LWK	NA19318	LWK	11.4085
HG03895	STU	HG03990	STU	6.301018
HG00284	FIN	HG00341	FIN	16.59176
HG02262	PEL	HG02348	PEL	7.298218
HG01095	PUR	HG01174	PUR	22.5536
NA19027	LWK	NA19043	LWK	6.59523
NA21093	GIH	NA21114	GIH	10.13329
HG01113	CLM	HG01456	CLM	12.20856
HG00733	PUR	HG01052	PUR	36.07733
HG03166	ESN	HG03199	ESN	19.7318
HG01136	CLM	HG01359	CLM	19.94175
HG00743	PUR	HG01413	PUR	25.91066
HG01612	IBS	HG01632	IBS	6.086533
HG02646	GWD	HG02807	GWD	5.357834
HG00743	PUR	HG01176	PUR	14.74463
NA21105	GIH	NA21109	GIH	5.037735
HG01136	CLM	HG01356	CLM	31.19444
HG01383	CLM	HG01464	CLM	13.20916
HG02941	ESN	HG03111	ESN	5.111031
HG01107	PUR	HG01242	PUR	10.13583
HG03695	STU	HG03698	STU	26.0161
HG01983	PEL	HG02275	PEL	5.473236
NA11894	CEU	NA12006	CEU	5.526119
HG02462	GWD	HG02611	GWD	128.4389
HG03016	PJL	HG03705	PJL	22.95501
NA21106	GIH	NA21135	GIH	8.709908
HG02462	GWD	HG02852	GWD	99.70302
HG03446	MSL	HG03469	MSL	9.898277
HG00743	PUR	HG01080	PUR	22.58947
HG01598	KHV	HG02060	KHV	7.516644
HG01136	CLM	HG01360	CLM	36.80342
NA20854	GIH	NA20863	GIH	5.077917
HG01136	CLM	HG01468	CLM	38.21744
HG02165	CDX	HG02178	CDX	5.175702
HG01136	CLM	HG01353	CLM	21.48889
HG01136	CLM	HG01438	CLM	30.38499
HG01383	CLM	HG01489	CLM	27.47496
HG02462	GWD	HG02860	GWD	29.68505
HG01437	CLM	HG01501	IBS	10.08397
HG01069	PUR	HG01077	PUR	21.45833
HG01519	IBS	NA19725	MXL	7.909191
HG00743	PUR	HG01111	PUR	29.85279
HG02941	ESN	HG03265	ESN	5.75074
HG01107	PUR	HG01325	PUR	21.89668
HG01935	PEL	HG02105	PEL	5.27095
HG01519	IBS	HG01521	IBS	7.898341
HG01069	PUR	HG01190	PUR	59.48434
HG01107	PUR	HG01326	PUR	45.21588
HG00369	FIN	HG00383	FIN	29.92516
NA19374	LWK	NA19379	LWK	9.529533
HG01105	PUR	HG01247	PUR	33.02089
HG01069	PUR	HG01102	PUR	28.23071
HG01323	PUR	HG01326	PUR	16.74879
HG01437	CLM	HG01465	CLM	27.5332
HG03695	STU	HG03836	STU	14.15841
HG01437	CLM	HG01550	CLM	54.96522
HG01704	IBS	NA19780	MXL	5.363196
HG01174	PUR	HG01188	PUR	19.86101
HG02941	ESN	HG02971	ESN	17.76646
HG01136	CLM	HG01447	CLM	11.58782
HG01069	PUR	HG01365	CLM	5.250601
HG00099	GBR	HG00110	GBR	34.78677
HG02275	PEL	NA19726	MXL	5.402184
HG00097	GBR	HG00101	GBR	11.13195
HG00099	GBR	HG00103	GBR	7.831945
HG01805	CDX	HG02178	CDX	6.213634
HG01865	KHV	HG02137	KHV	6.290352
NA20507	TSI	NA20765	TSI	9.251198
HG01105	PUR	HG01248	PUR	25.73254
NA20854	GIH	NA21086	GIH	6.803216
NA20759	TSI	NA20806	TSI	15.04436
HG01113	CLM	HG01122	CLM	9.74622
HG00338	FIN	HG00375	FIN	5.726593
HG03718	ITU	HG04025	ITU	25.58204
HG03099	ESN	HG03163	ESN	5.672565
HG00740	PUR	HG01248	PUR	33.14179
HG02646	GWD	HG02839	GWD	12.24928
HG01566	PEL	HG01668	IBS	5.018097
HG01378	CLM	HG01461	CLM	9.157734
HG01251	CLM	HG01359	CLM	69.90363
HG01101	PUR	HG01403	PUR	16.428
NA19138	YRI	NA19185	YRI	8.774658
NA20538	TSI	NA20589	TSI	19.36251
HG02390	CDX	HG02394	CDX	9.015823
NA18939	JPT	NA19004	JPT	5.110588
HG03198	ESN	HG03352	ESN	12.71502
NA20542	TSI	NA20795	TSI	16.39984
NA20877	GIH	NA21118	GIH	8.859917
HG01277	CLM	HG01489	CLM	10.88248
HG01101	PUR	HG01242	PUR	14.54312
NA20513	TSI	NA20758	TSI	6.615337
HG01277	CLM	HG01378	CLM	85.56804
HG00740	PUR	HG01105	PUR	20.7995
HG01269	CLM	HG01362	CLM	15.08057
HG01101	PUR	HG01392	PUR	25.07813
HG02588	GWD	HG02642	GWD	5.022217
HG02725	PJL	HG02728	PJL	34.13104
HG01101	PUR	HG01182	PUR	29.31913
HG01612	IBS	HG02104	PEL	5.240143
HG01277	CLM	HG01495	CLM	18.25465
HG02923	ESN	HG03121	ESN	6.142334
HG01796	CDX	HG02373	CDX	20.8471
NA20542	TSI	NA20752	TSI	6.145952
NA20877	GIH	NA21123	GIH	24.21229
NA20581	TSI	NA20802	TSI	5.666656
NA19439	LWK	NA19457	LWK	15.98035
HG00740	PUR	HG01303	PUR	18.72322
HG03695	STU	HG03846	STU	6.420364
NA20877	GIH	NA21110	GIH	27.01801
HG01107	PUR	HG01188	PUR	49.17434
HG00238	GBR	HG00250	GBR	5.108978
HG00740	PUR	HG01083	PUR	49.3175
NA20911	GIH	NA21086	GIH	6.870041
HG03446	MSL	HG03478	MSL	15.0873
HG01101	PUR	HG01105	PUR	13.21076
NA20877	GIH	NA21129	GIH	6.422516
HG00743	PUR	HG01133	CLM	5.893509
HG03695	STU	HG04210	STU	14.95493
HG01437	CLM	HG01464	CLM	18.70366
HG01269	CLM	HG01474	CLM	42.32927
NA20854	GIH	NA20867	GIH	12.17555
NA20513	TSI	NA20516	TSI	8.670937
NA21105	GIH	NA21128	GIH	11.13348
HG01795	CDX	HG02152	CDX	5.393456
HG02941	ESN	HG03109	ESN	6.294014
HG03695	STU	HG03897	STU	5.607567
NA20538	TSI	NA20775	TSI	5.359787
HG00743	PUR	HG01077	PUR	23.62019
HG02024	KHV	HG02032	KHV	5.525986
HG01777	IBS	HG02102	PEL	5.696396
HG01107	PUR	HG01412	PUR	62.35931
HG01136	CLM	HG01348	CLM	12.04484
NA21105	GIH	NA21107	GIH	5.496788
HG00743	PUR	HG01061	PUR	55.04032
HG00743	PUR	HG01060	PUR	77.93723
HG00257	GBR	HG00259	GBR	5.370659
HG01912	ACB	HG02330	ACB	5.727135
NA19430	LWK	NA19468	LWK	13.5029
HG02757	GWD	HG03258	GWD	6.213638
HG00276	FIN	HG00304	FIN	30.30694
HG02266	PEL	NA19682	MXL	5.27095
HG01176	PUR	HG01305	PUR	13.72359
HG00343	FIN	HG00383	FIN	69.78981
NA21107	GIH	NA21118	GIH	25.34694
HG00272	FIN	HG00319	FIN	20.97296
NA21107	GIH	NA21119	GIH	26.4905
HG00306	FIN	HG00326	FIN	5.203156
HG01054	PUR	HG01063	PUR	45.32639
HG00306	FIN	HG00323	FIN	16.91751
HG00343	FIN	HG00368	FIN	10.24821
HG00343	FIN	HG00353	FIN	13.56306
HG02716	GWD	HG02772	GWD	8.066147
HG01054	PUR	HG01395	PUR	31.68139
HG00272	FIN	HG00353	FIN	10.75349
HG01816	CDX	HG02151	CDX	124.6151
NA20514	TSI	NA20517	TSI	11.43444
HG02757	GWD	HG02884	GWD	9.075089
HG00343	FIN	HG00364	FIN	7.535845
HG01357	CLM	HG01359	CLM	36.99153
NA18947	JPT	NA18973	JPT	5.424889
HG03829	BEB	HG03937	BEB	5.722916
NA20888	GIH	NA21102	GIH	10.62025
NA20888	GIH	NA20902	GIH	17.55231
HG03367	ESN	HG03499	ESN	35.65944
HG01164	PUR	HG01413	PUR	25.23124
HG01164	PUR	HG01174	PUR	17.79035
HG02810	GWD	HG02852	GWD	5.151085
HG01054	PUR	HG01405	PUR	18.60477
HG01054	PUR	HG01098	PUR	34.40758
HG01077	PUR	NA19723	MXL	5.526291
HG01177	PUR	HG01200	PUR	22.19798
NA19394	LWK	NA19401	LWK	23.86241
HG00306	FIN	HG00383	FIN	10.73868
NA20796	TSI	NA20815	TSI	12.95053
HG00335	FIN	HG00349	FIN	10.96469
HG03455	MSL	HG03478	MSL	15.40841
NA19019	LWK	NA19454	LWK	5.186562
NA19452	LWK	NA19462	LWK	5.932846
HG01077	PUR	HG01107	PUR	23.01345
NA19019	LWK	NA19384	LWK	5.238106
HG03388	MSL	HG03547	MSL	20.00201
NA19019	LWK	NA19309	LWK	6.027596
NA20856	GIH	NA21089	GIH	12.58618
HG00276	FIN	HG00331	FIN	14.57098
HG01277	CLM	HG01284	CLM	12.85964
HG01101	PUR	HG01168	PUR	14.35403
NA06984	CEU	NA20282	ASW	5.154113
HG01796	CDX	HG01799	CDX	6.383163
HG01537	IBS	HG01675	IBS	6.37793
HG01269	CLM	HG01348	CLM	43.07444
HG01269	CLM	HG01356	CLM	18.18442
NA19439	LWK	NA19446	LWK	19.09645
NA20756	TSI	NA20766	TSI	18.23957
HG03697	STU	HG03750	STU	11.41379
HG01094	PUR	HG01205	PUR	28.4113
HG01277	CLM	HG01488	CLM	13.66042
HG01094	PUR	HG01162	PUR	47.26269
HG00174	FIN	HG00379	FIN	6.291031
HG00596	CHS	HG00608	CHS	7.371796
HG01094	PUR	HG01308	PUR	64.61136
NA20534	TSI	NA20803	TSI	6.352455
HG01378	CLM	HG01447	CLM	6.795063
HG03738	STU	HG03895	STU	9.515079
HG01277	CLM	HG01345	CLM	55.55983
HG01277	CLM	HG01348	CLM	39.24103
NA20911	GIH	NA21119	GIH	16.02454
HG03099	ESN	HG03114	ESN	29.27986
HG00276	FIN	HG00360	FIN	12.58261
NA21107	GIH	NA21127	GIH	31.54219
HG02757	GWD	HG03049	GWD	10.55144
HG00343	FIN	HG00384	FIN	12.23992
HG01537	IBS	HG02219	IBS	6.447659
HG01094	PUR	HG01187	PUR	39.03635
HG00272	FIN	HG00281	FIN	13.17377
HG00336	FIN	HG00365	FIN	11.18381
NA19758	MXL	NA19770	MXL	7.191345
HG03198	ESN	HG03311	ESN	17.56524
HG01054	PUR	HG01205	PUR	47.5368
HG03690	STU	HG03943	STU	37.32624
HG01054	PUR	HG01058	PUR	24.21041
HG01094	PUR	HG01164	PUR	13.88071
HG01413	PUR	HG01464	CLM	7.429596
HG02923	ESN	HG03175	ESN	51.15375
HG00272	FIN	HG00328	FIN	25.28574
HG01378	CLM	HG01485	CLM	37.32794
NA21107	GIH	NA21129	GIH	33.90626
HG01094	PUR	HG01182	PUR	23.83875
HG03697	STU	HG03851	STU	39.89875
HG00343	FIN	HG00357	FIN	6.560116
HG01054	PUR	HG01566	PEL	10.39069
HG00111	GBR	NA11918	CEU	5.521118
HG03738	STU	HG03900	STU	11.21082
NA20514	TSI	NA20532	TSI	9.883476
HG00376	FIN	HG00381	FIN	6.856928
HG01054	PUR	HG01164	PUR	25.91127
HG03690	STU	HG03753	STU	6.288635
HG01054	PUR	HG01325	PUR	33.89918
HG01094	PUR	HG01110	PUR	15.914
HG01176	PUR	HG01413	PUR	25.54068
HG01176	PUR	HG01525	IBS	9.273636
HG03099	ESN	HG03126	ESN	17.37012
NA19430	LWK	NA19449	LWK	7.300812
HG00276	FIN	HG00342	FIN	14.66343
NA20514	TSI	NA20770	TSI	15.4271
HG00272	FIN	HG00376	FIN	14.5814
HG00404	CHS	HG00530	CHS	5.033011
HG03445	MSL	HG03455	MSL	50.6534
HG00641	PUR	HG01396	PUR	47.29366
NA19379	LWK	NA19467	LWK	5.750328
HG01131	CLM	NA19770	MXL	6.441204
HG00641	PUR	HG01111	PUR	27.75102
NA18962	JPT	NA19067	JPT	6.857059
HG02095	ACB	HG02322	ACB	19.81398
HG01061	PUR	HG01325	PUR	10.34331
NA19654	MXL	NA19676	MXL	6.116501
HG00641	PUR	HG00742	PUR	15.35199
HG01060	PUR	HG01064	PUR	53.68464
HG01052	PUR	HG01092	PUR	13.51484
HG00109	GBR	HG00122	GBR	12.13319
HG00731	PUR	HG01061	PUR	42.12528
HG01061	PUR	HG01191	PUR	33.91064
NA19379	LWK	NA19431	LWK	17.18739
HG03124	ESN	HG03169	ESN	11.48057
HG03139	ESN	HG03363	ESN	13.58376
HG01746	IBS	NA19651	MXL	5.257057
HG00731	PUR	HG01403	PUR	51.18867
HG02050	KHV	HG02078	KHV	5.079028
HG01061	PUR	HG01170	PUR	28.06776
HG01917	PEL	HG02008	PEL	6.812485
HG00478	CHS	HG00533	CHS	44.70296
HG01182	PUR	NA19092	YRI	9.221741
HG01182	PUR	HG01305	PUR	5.377367
HG03445	MSL	NA19920	ASW	6.794117
HG01052	PUR	HG01183	PUR	33.99139
HG01052	PUR	HG01395	PUR	24.44095
HG00109	GBR	HG00309	FIN	6.904762
HG01060	PUR	HG01775	IBS	5.205803
NA19324	LWK	NA19394	LWK	7.021545
HG01061	PUR	HG01133	CLM	6.168152
HG00641	PUR	HG01413	PUR	23.79113
HG01182	PUR	HG01204	PUR	43.40541
HG01061	PUR	HG01403	PUR	39.28416
HG00641	PUR	HG01060	PUR	36.04763
HG00109	GBR	HG00117	GBR	16.70532
HG01182	PUR	HG01183	PUR	82.41728
HG00641	PUR	HG01305	PUR	36.45863
NA19041	LWK	NA19475	LWK	8.567513
NA19041	LWK	NA19391	LWK	5.769341
HG02153	CDX	HG02374	CDX	5.799934
HG02315	ACB	HG02580	ACB	26.20358
NA20792	TSI	NA20795	TSI	51.95415
HG03744	STU	HG03884	STU	5.024637
NA19324	LWK	NA19472	LWK	6.430332
HG00641	PUR	HG01110	PUR	37.12722
HG02334	ACB	HG02594	GWD	10.80127
HG02724	PJL	HG02790	PJL	21.34066
HG03388	MSL	HG03451	MSL	9.427322
NA18947	JPT	NA19054	JPT	5.424889
HG00306	FIN	HG00341	FIN	7.394104
HG00306	FIN	HG00308	FIN	7.560112
NA19019	LWK	NA19027	LWK	5.695168
HG00534	CHS	HG00542	CHS	9.969513
HG00335	FIN	HG00372	FIN	6.334602
HG02334	ACB	HG02589	GWD	5.354706
HG01177	PUR	NA19725	MXL	6.403564
NA19379	LWK	NA19900	ASW	5.317703
HG01077	PUR	HG01305	PUR	8.016972
HG01389	CLM	HG01431	CLM	30.52077
HG01177	PUR	HG01395	PUR	61.87172
HG00242	GBR	HG00260	GBR	7.068771
HG01676	IBS	HG01786	IBS	5.114777
HG01131	CLM	HG01366	CLM	26.08594
HG01281	CLM	HG01344	CLM	6.656799
NA20772	TSI	NA20797	TSI	8.693825
HG02465	GWD	HG02722	GWD	6.070591
HG02595	GWD	HG02810	GWD	9.07312
HG02465	GWD	NA19818	ASW	9.203732
HG01281	CLM	HG01432	CLM	39.94108
HG02582	GWD	NA20334	ASW	5.488998
HG01281	CLM	HG01456	CLM	24.34724
NA19380	LWK	NA19455	LWK	10.41632
NA19380	LWK	NA19404	LWK	5.52652
HG01077	PUR	HG01405	PUR	35.48812
NA19019	LWK	NA19311	LWK	5.695168
HG01131	CLM	HG01492	CLM	28.45594
HG03866	ITU	HG03896	STU	6.350746
HG03773	ITU	HG03787	ITU	5.444962
HG01060	PUR	HG01108	PUR	25.37793
HG03866	ITU	HG03953	STU	9.132233
HG03773	ITU	HG04025	ITU	20.93039
HG00589	CHS	HG00607	CHS	5.093792
NA19019	LWK	NA19031	LWK	17.02834
HG01131	CLM	HG01479	CLM	18.01694
HG01131	CLM	HG01350	CLM	9.718185
HG03773	ITU	HG04026	ITU	39.56578
NA19452	LWK	NA19468	LWK	15.7967
HG00560	CHS	NA18740	CHB	5.06572
HG00731	PUR	HG01198	PUR	12.08689
HG01052	PUR	HG01173	PUR	15.00082
HG03297	ESN	HG03354	ESN	11.45455
HG00171	FIN	HG00324	FIN	19.24829
HG01052	PUR	HG01190	PUR	13.63103
HG01182	PUR	HG01286	PUR	18.18679
HG00731	PUR	HG01161	PUR	16.51927
HG00731	PUR	HG01049	PUR	12.56858
NA20800	TSI	NA20821	TSI	5.872986
HG00109	GBR	HG00125	GBR	11.94926
HG00171	FIN	HG00326	FIN	18.90495
HG03343	ESN	HG03515	ESN	7.311569
HG01052	PUR	NA19678	MXL	6.136551
NA19312	LWK	NA19360	LWK	94.04706
HG00731	PUR	HG01312	PUR	21.24661
HG01061	PUR	HG01111	PUR	19.63407
HG00109	GBR	HG00124	GBR	7.99556
HG00109	GBR	HG00119	GBR	32.19118
HG01060	PUR	HG01308	PUR	51.44059
HG01131	CLM	HG01459	CLM	8.819353
NA20792	TSI	NA20826	TSI	5.75676
HG01060	PUR	HG01095	PUR	35.93593
HG00177	FIN	HG00325	FIN	19.30833
HG01256	CLM	HG01432	CLM	37.18154
HG01248	PUR	HG01412	PUR	84.41303
HG00844	CDX	HG01028	CDX	5.501331
HG01064	PUR	HG01067	PUR	93.3213
HG01853	KHV	HG02057	KHV	5.436722
HG01958	ACB	HG02479	ACB	14.92608
HG01260	CLM	HG01465	CLM	51.9326
HG01064	PUR	HG01412	PUR	37.74146
HG01260	CLM	HG01443	CLM	26.25043
HG01886	ACB	HG03084	MSL	6.742737
HG00554	PUR	HG01063	PUR	28.51493
NA19043	LWK	NA19328	LWK	5.560596
HG01064	PUR	HG01092	PUR	20.13004
HG00554	PUR	HG01097	PUR	30.60333
NA20899	GIH	NA21117	GIH	13.33632
HG01064	PUR	HG01073	PUR	39.32121
HG00844	CDX	HG00982	CDX	20.82682
HG00844	CDX	HG02155	CDX	19.35903
NA19043	LWK	NA19448	LWK	10.37666
NA19035	LWK	NA19313	LWK	5.046036
HG00319	FIN	HG00328	FIN	33.79783
NA19035	LWK	NA19434	LWK	5.211788
HG01807	CDX	HG02392	CDX	8.728928
HG01761	IBS	HG02221	IBS	5.903381
HG01958	ACB	HG02343	ACB	6.437561
HG00554	PUR	HG01403	PUR	25.71957
HG01064	PUR	HG01177	PUR	41.71941
HG01064	PUR	HG01176	PUR	25.26045
HG01248	PUR	HG01323	PUR	58.91556
HG01064	PUR	HG01525	IBS	6.275436
HG01064	PUR	HG01107	PUR	5.922348
HG01064	PUR	HG01323	PUR	8.725708
HG01064	PUR	HG01308	PUR	29.64661
NA07347	CEU	NA12716	CEU	15.80723
HG01967	PEL	HG02291	PEL	6.583292
HG01242	PUR	HG01303	PUR	5.427673
NA19035	LWK	NA19438	LWK	5.095596
HG00319	FIN	HG00368	FIN	13.88791
HG00178	FIN	HG00349	FIN	12.10069
NA19372	LWK	NA19391	LWK	5.582001
HG00177	FIN	HG00281	FIN	5.639114
HG01064	PUR	HG01168	PUR	28.63804
HG01958	ACB	HG02429	ACB	32.88552
HG02493	PJL	HG02784	PJL	6.080185
HG00309	FIN	HG00372	FIN	11.63699
NA20899	GIH	NA21119	GIH	19.51329
NA21099	GIH	NA21133	GIH	25.65362
HG01880	ACB	NA12813	CEU	7.279144
HG01064	PUR	HG01167	PUR	25.53263
HG01260	CLM	HG01491	CLM	41.07761
HG01967	PEL	HG01982	PEL	11.38182
HG01967	PEL	HG02265	PEL	11.7632
HG01256	CLM	HG01491	CLM	16.46275
NA21099	GIH	NA21123	GIH	39.46351
HG00177	FIN	HG00326	FIN	17.17394
NA21099	GIH	NA21143	GIH	10.13407
HG00360	FIN	HG00371	FIN	7.861092
NA19035	LWK	NA19324	LWK	7.805168
HG01260	CLM	HG01437	CLM	34.47965
HG03753	STU	HG03837	STU	13.12135
NA19720	MXL	NA19771	MXL	14.62439
HG00177	FIN	HG00274	FIN	17.95326
NA21099	GIH	NA21127	GIH	12.38122
HG00309	FIN	HG00349	FIN	6.839279
HG03803	BEB	HG03910	BEB	5.732468
HG00554	PUR	HG01055	PUR	38.08929
HG03479	MSL	HG03556	MSL	5.651951
HG00565	CHS	HG00583	CHS	8.047199
HG01256	CLM	HG01447	CLM	15.28442
HG02385	CDX	HG02402	CDX	28.90986
NA19041	LWK	NA19355	LWK	14.37818
HG00554	PUR	HG01051	PUR	36.11646
HG00554	PUR	HG01162	PUR	22.75554
NA19043	LWK	NA19384	LWK	21.72621
NA19041	LWK	NA19372	LWK	10.51715
NA18973	JPT	NA19054	JPT	5.52964
HG02385	CDX	HG02394	CDX	19.74555
HG02364	CDX	HG02383	CDX	11.40474
NA19355	LWK	NA19449	LWK	7.772896
HG02156	CDX	HG02182	CDX	86.01002
HG02420	ACB	HG02427	ACB	12.80109
HG01939	PEL	HG02274	PEL	11.42215
HG00844	CDX	HG02374	CDX	5.398621
HG00641	PUR	HG01048	PUR	46.07726
HG03343	ESN	HG03354	ESN	14.0568
HG01350	CLM	HG01384	CLM	39.47865
HG01061	PUR	HG01167	PUR	32.87371
HG00457	CHS	HG00542	CHS	5.504684
NA19318	LWK	NA19437	LWK	5.854889
HG01064	PUR	HG01161	PUR	25.18595
HG00554	PUR	HG01176	PUR	98.05682
HG02383	CDX	HG02406	CDX	6.040337
HG02182	CDX	HG02395	CDX	5.212791
HG01064	PUR	HG01095	PUR	34.87111
HG01951	PEL	NA19777	MXL	5.026733
NA19043	LWK	NA19360	LWK	5.859055
HG00554	PUR	HG01174	PUR	22.38424
HG01197	PUR	HG01326	PUR	46.58805
HG01886	ACB	HG02545	ACB	6.430038
HG01958	ACB	HG01986	ACB	29.08328
HG02104	PEL	NA19722	MXL	5.436813
