"RACE","YEAR","Mean","Variance"
"Black/African American",1960,3.01572876616568,10.5218514000972
"Black/African American",1970,3.00165050853506,9.57491809480235
"Black/African American",1980,3.20804117559302,9.21387272754838
"Black/African American",1990,3.19867595338253,7.84064741241586
"White",1960,2.61608236389194,5.47275004674385
"White",1970,2.45442170212955,4.68720966455531
"White",1980,2.54657149131249,4.10181510059721
"White",1990,2.52516625555921,3.46017329446979
