RACE,Model,mu,size,pi0,AIC
Black/African American,Poisson,3.7238921882140903,Inf,0,55107.972057966545
Black/African American,NB,3.7238921882140987,3.0069445130817645,0,51184.003089558406
Black/African American,ZIP,4.1209172588741065,Inf,0.09634265967196524,52841.82527693191
Black/African American,ZINB,3.9317420638370693,4.289307464227857,0.05286492541241843,51024.459924543735
White,Poisson,2.894690827342007,Inf,0,381107.3655689516
White,NB,2.89469082734302,18.402273345514335,0,380052.99487794744
White,ZIP,3.0789638735759666,Inf,0.05984924871666874,376840.14079844096
White,ZINB,3.078961754146488,257628.93831289935,0.05984779877494249,376842.1693199519
