allele,marker,frequency,population
6.3,Penta_E,0,AfAm
6.3,SE33,0,AfAm
6.3,TH01,0,AfAm
6.3,TPOX,0,AfAm
6.3,vWA,0,AfAm
7,CSF1PO,0.0555555555555556,AfAm
7,D10S1248,0,AfAm
7,D12S391,0,AfAm
7,D13S317,0,AfAm
7,D16S539,0,AfAm
7,D18S51,0,AfAm
7,D19S433,0,AfAm
7,D1S1656,0,AfAm
7,D21S11,0,AfAm
7,D22S1045,0,AfAm
7,D2S1338,0,AfAm
7,D2S441,0,AfAm
7,D3S1358,0,AfAm
7,D5S818,0.00292397660818713,AfAm
7,D6S1043,0,AfAm
7,D7S820,0.0116959064327485,AfAm
7,D8S1179,0,AfAm
7,F13A01,0.197368421052632,AfAm
7,F13B,0.16812865497076,AfAm
7,FESFPS,0.00292397660818713,AfAm
7,FGA,0,AfAm
7,LPL,0.0160818713450292,AfAm
7,Penta_C,0.0160818713450292,AfAm
7,Penta_D,0.043859649122807,AfAm
7,Penta_E,0.103801169590643,AfAm
7,SE33,0.00146198830409357,AfAm
7,TH01,0.407894736842105,AfAm
7,TPOX,0.0175953079178886,AfAm
7,vWA,0,AfAm
8,CSF1PO,0.0555555555555556,AfAm
8,D10S1248,0.00292397660818713,AfAm
8,D12S391,0,AfAm
8,D13S317,0.0277777777777778,AfAm
8,D16S539,0.0321637426900585,AfAm
8,D18S51,0,AfAm
8,D19S433,0,AfAm
8,D1S1656,0,AfAm
8,D21S11,0,AfAm
8,D22S1045,0.00730994152046784,AfAm
8,D2S1338,0,AfAm
8,D2S441,0,AfAm
8,D3S1358,0,AfAm
8,D5S818,0.0467836257309942,AfAm
8,D6S1043,0,AfAm
8,D7S820,0.228070175438597,AfAm
8,D8S1179,0.00730994152046784,AfAm
8,F13A01,0.0570175438596491,AfAm
8,F13B,0.108187134502924,AfAm
8,FESFPS,0.0994152046783626,AfAm
8,FGA,0,AfAm
8,LPL,0.0043859649122807,AfAm
8,Penta_C,0.0511695906432749,AfAm
8,Penta_D,0.108187134502924,AfAm
8,Penta_E,0.166666666666667,AfAm
8,SE33,0,AfAm
8,TH01,0.195906432748538,AfAm
8,TPOX,0.368035190615836,AfAm
8,vWA,0,AfAm
8.1,CSF1PO,0,AfAm
8.1,D10S1248,0,AfAm
8.1,D12S391,0,AfAm
8.1,D13S317,0,AfAm
8.1,D16S539,0,AfAm
8.1,D18S51,0,AfAm
8.1,D19S433,0,AfAm
8.1,D1S1656,0,AfAm
8.1,D21S11,0,AfAm
8.1,D22S1045,0,AfAm
8.1,D2S1338,0,AfAm
8.1,D2S441,0,AfAm
8.1,D3S1358,0,AfAm
8.1,D5S818,0,AfAm
8.1,D6S1043,0,AfAm
8.1,D7S820,0,AfAm
8.1,D8S1179,0,AfAm
8.1,F13A01,0,AfAm
8.1,F13B,0,AfAm
8.1,FESFPS,0,AfAm
8.1,FGA,0,AfAm
8.1,LPL,0,AfAm
8.1,Penta_C,0,AfAm
8.1,Penta_D,0,AfAm
8.1,Penta_E,0,AfAm
8.1,SE33,0,AfAm
8.1,TH01,0,AfAm
8.1,TPOX,0,AfAm
8.1,vWA,0,AfAm
9,CSF1PO,0.0394736842105263,AfAm
9,D10S1248,0.00292397660818713,AfAm
9,D12S391,0,AfAm
9,D13S317,0.033625730994152,AfAm
9,D16S539,0.182748538011696,AfAm
9,D18S51,0.00292397660818713,AfAm
9,D19S433,0,AfAm
9,D1S1656,0,AfAm
9,D21S11,0,AfAm
9,D22S1045,0,AfAm
9,D2S1338,0,AfAm
9,D2S441,0.00292397660818713,AfAm
9,D3S1358,0,AfAm
9,D5S818,0.0321637426900585,AfAm
9,D6S1043,0.00146198830409357,AfAm
9,D7S820,0.115497076023392,AfAm
9,D8S1179,0.0043859649122807,AfAm
9,F13A01,0.0087719298245614,AfAm
9,F13B,0.228070175438597,AfAm
9,FESFPS,0.0277777777777778,AfAm
9,FGA,0,AfAm
9,LPL,0.130116959064328,AfAm
9,Penta_C,0.172514619883041,AfAm
9,Penta_D,0.16812865497076,AfAm
9,Penta_E,0.0511695906432749,AfAm
9,SE33,0,AfAm
9,TH01,0.159356725146199,AfAm
9,TPOX,0.195014662756598,AfAm
9,vWA,0,AfAm
9.1,CSF1PO,0,AfAm
9.1,D10S1248,0,AfAm
9.1,D12S391,0,AfAm
9.1,D13S317,0,AfAm
9.1,D16S539,0,AfAm
9.1,D18S51,0,AfAm
9.1,D19S433,0,AfAm
9.1,D1S1656,0,AfAm
