"","n_sibs","n_half_sibs","n_first_degree","n_second_degree","n_third_degree"
"244",1,0,6,9,5
"245",1,0,4,10,2
"246",2,0,4,15,21
"247",2,0,10,11,21
"248",0,0,6,0,0
"249",4,0,8,12,5
"250",0,0,3,2,7
"251",2,0,12,8,7
"252",4,0,17,9,0
"253",7,0,9,27,14
"254",4,0,9,18,3
"255",1,0,9,4,2
"256",3,0,11,9,0
"257",0,0,3,2,2
"258",4,0,19,8,16
"259",2,0,7,9,5
"260",3,0,7,7,8
"261",2,0,5,7,12
"262",1,0,10,15,26
"263",4,0,6,14,22
"264",3,0,12,8,13
"265",0,0,6,0,0
"266",6,0,9,24,5
"267",4,0,6,7,18
"268",1,0,5,10,19
"269",2,0,7,6,13
"270",2,0,4,10,13
"271",4,0,15,23,52
"272",1,0,8,5,14
"273",8,0,12,36,5
"274",8,0,16,34,4
"275",2,0,11,7,3
"276",5,0,10,27,29
"277",2,0,4,14,23
"278",0,0,3,3,9
"279",0,0,5,4,9
"280",2,0,9,14,26
"281",7,0,12,16,22
"282",0,0,3,5,13
"283",5,0,9,24,5
"284",5,0,11,14,13
"285",1,0,3,17,27
"286",1,0,8,2,4
"287",0,0,4,1,6
"288",2,0,9,12,15
"289",3,0,7,17,12
"290",0,0,2,4,9
"291",6,0,14,24,12
"292",3,0,11,15,25
"293",4,0,13,14,7
"294",5,0,11,14,8
"295",0,0,4,3,8
"296",1,0,5,13,28
"297",2,0,7,5,4
"298",2,0,5,7,14
"299",0,0,4,1,0
"300",3,0,7,10,17
"301",0,0,7,3,6
"302",2,0,6,3,1
"303",0,0,4,10,22
"304",2,0,4,14,20
"305",1,0,3,9,8
"306",9,0,13,27,10
"307",7,0,12,18,10
"308",3,0,6,9,6
"309",2,0,4,12,19
"310",4,0,7,15,4
"311",1,0,7,7,11
"312",3,0,5,22,44
"313",2,0,5,17,21
"314",3,0,6,21,21
"315",1,0,4,9,14
"316",0,0,7,4,6
"317",0,0,6,9,25
"318",1,0,12,15,20
"319",2,0,4,12,24
"320",5,0,8,22,25
"321",5,0,7,17,6
"322",1,0,10,4,4
"323",0,0,4,4,8
"324",1,0,3,9,7
"325",2,0,6,8,15
"326",4,0,8,13,12
"327",3,0,7,13,8
"328",2,0,5,8,8
"329",0,0,6,4,8
"330",4,0,9,17,12
"331",1,0,6,2,2
"332",2,0,6,8,22
"333",0,0,3,7,12
"334",3,0,7,12,24
"335",5,0,10,18,24
"336",1,0,6,1,0
"337",4,0,7,17,6
"338",4,0,9,11,22
"339",4,0,7,10,7
"340",2,0,7,7,0
"341",2,0,7,14,7
"342",8,0,11,21,13
"343",4,0,11,13,2
"344",4,0,6,6,4
"345",0,0,2,11,38
"346",2,0,8,6,1
"347",3,0,9,9,14
"348",0,0,3,1,3
"349",6,0,12,23,17
"350",2,0,4,8,12
"351",2,0,6,11,40
"352",2,0,4,8,3
"353",0,0,9,5,13
"354",4,0,6,18,18
"355",0,0,4,1,3
"356",2,0,6,9,2
"357",2,0,5,11,0
"358",0,0,5,3,6
"359",0,0,4,5,10
"360",3,0,8,29,24
"361",7,0,9,24,0
"362",2,0,7,9,11
"363",1,0,7,5,26
"364",1,0,3,8,17
"365",3,0,5,11,11
"366",7,0,9,23,8
"367",0,0,3,1,4
"368",10,0,14,21,0
"369",3,0,5,11,0
"370",0,0,7,3,8
"371",1,0,5,5,15
"372",8,0,11,29,11
"373",0,0,2,8,17
"374",0,0,4,8,17
"375",0,0,4,2,6
"376",3,0,5,13,9
"377",1,0,4,7,9
"378",3,0,5,15,30
"379",3,0,5,7,7
"380",0,0,2,7,20
"381",0,0,3,14,45
"382",1,0,3,22,42
"383",6,0,8,19,1
"384",12,0,15,37,2
"385",0,0,2,3,12
"386",1,0,7,14,21
"387",0,0,3,2,11
"388",2,0,4,7,1
"389",2,0,5,9,1
"390",6,0,10,24,33
"391",9,0,14,34,16
"392",1,0,7,15,25
"393",6,0,9,31,4
