Allele,Marker,Frequency,Population,Sample_Size
12.3,...13,0.005154639175257732,"1036 revised Asian,",=97
12.3,...16,0.005154639175257732,"1036 revised Asian,",=97
13,...2,0.08762886597938144,"1036 revised Asian,",=97
13,...3,0.31958762886597936,"1036 revised Asian,",=97
13,...5,0.05670103092783505,"1036 revised Asian,",=97
13,...6,0.0979381443298969,"1036 revised Asian,",=97
13,...7,0.21649484536082475,"1036 revised Asian,",=97
13,...8,0.28350515463917525,"1036 revised Asian,",=97
13,...9,0.13402061855670103,"1036 revised Asian,",=97
13,...13,0.02577319587628866,"1036 revised Asian,",=97
13,...15,0.15979381443298968,"1036 revised Asian,",=97
13,...16,0.12371134020618557,"1036 revised Asian,",=97
13,...17,0.02577319587628866,"1036 revised Asian,",=97
13,...18,0.20103092783505155,"1036 revised Asian,",=97
13,...21,0.1958762886597938,"1036 revised Asian,",=97
13,...23,0.015463917525773196,"1036 revised Asian,",=97
13,...24,0.015463917525773196,"1036 revised Asian,",=97
13,...25,0.10309278350515463,"1036 revised Asian,",=97
13,...26,0.05154639175257732,"1036 revised Asian,",=97
13.2,...8,0.020618556701030927,"1036 revised Asian,",=97
14,...2,0.015463917525773196,"1036 revised Asian,",=97
14,...3,0.25257731958762886,"1036 revised Asian,",=97
14,...6,0.015463917525773196,"1036 revised Asian,",=97
14,...7,0.23711340206185566,"1036 revised Asian,",=97
14,...8,0.29896907216494845,"1036 revised Asian,",=97
14,...9,0.061855670103092786,"1036 revised Asian,",=97
14,...11,0.010309278350515464,"1036 revised Asian,",=97
14,...13,0.08247422680412371,"1036 revised Asian,",=97
14,...14,0.02577319587628866,"1036 revised Asian,",=97
14,...15,0.015463917525773196,"1036 revised Asian,",=97
14,...16,0.15463917525773196,"1036 revised Asian,",=97
14,...18,0.20103092783505155,"1036 revised Asian,",=97
14,...21,0.020618556701030927,"1036 revised Asian,",=97
14,...24,0.005154639175257732,"1036 revised Asian,",=97
14,...25,0.010309278350515464,"1036 revised Asian,",=97
14,...26,0.05154639175257732,"1036 revised Asian,",=97
14,...30,0.1958762886597938,"1036 revised Asian,",=97
14.2,...8,0.10309278350515463,"1036 revised Asian,",=97
15,...2,0.005154639175257732,"1036 revised Asian,",=97
15,...3,0.20618556701030927,"1036 revised Asian,",=97
15,...4,0.041237113402061855,"1036 revised Asian,",=97
15,...7,0.18041237113402062,"1036 revised Asian,",=97
15,...8,0.061855670103092786,"1036 revised Asian,",=97
15,...9,0.27835051546391754,"1036 revised Asian,",=97
15,...11,0.30927835051546393,"1036 revised Asian,",=97
15,...13,0.010309278350515464,"1036 revised Asian,",=97
15,...14,0.36597938144329895,"1036 revised Asian,",=97
15,...16,0.03608247422680412,"1036 revised Asian,",=97
15,...18,0.12886597938144329,"1036 revised Asian,",=97
15,...25,0.010309278350515464,"1036 revised Asian,",=97
15,...26,0.1134020618556701,"1036 revised Asian,",=97
15,...27,0.010309278350515464,"1036 revised Asian,",=97
15,...30,0.020618556701030927,"1036 revised Asian,",=97
15.2,...8,0.12371134020618557,"1036 revised Asian,",=97
16,...3,0.0979381443298969,"1036 revised Asian,",=97
16,...4,0.010309278350515464,"1036 revised Asian,",=97
16,...7,0.12886597938144329,"1036 revised Asian,",=97
16,...8,0.010309278350515464,"1036 revised Asian,",=97
16,...9,0.20103092783505155,"1036 revised Asian,",=97
16,...11,0.2268041237113402,"1036 revised Asian,",=97
16,...12,0.020618556701030927,"1036 revised Asian,",=97
16,...14,0.32989690721649484,"1036 revised Asian,",=97
16,...16,0.005154639175257732,"1036 revised Asian,",=97
16,...18,0.09278350515463918,"1036 revised Asian,",=97
16,...26,0.05670103092783505,"1036 revised Asian,",=97
16,...27,0.030927835051546393,"1036 revised Asian,",=97
16,...30,0.13917525773195877,"1036 revised Asian,",=97
16.2,...8,0.030927835051546393,"1036 revised Asian,",=97
16.3,...9,0.015463917525773196,"1036 revised Asian,",=97
17,...3,0.030927835051546393,"1036 revised Asian,",=97
17,...4,0.08247422680412371,"1036 revised Asian,",=97
17,...7,0.06701030927835051,"1036 revised Asian,",=97
17,...9,0.07216494845360824,"1036 revised Asian,",=97
17,...11,0.22164948453608246,"1036 revised Asian,",=97
17,...12,0.05670103092783505,"1036 revised Asian,",=97
17,...14,0.20103092783505155,"1036 revised Asian,",=97
17,...16,0.07216494845360824,"1036 revised Asian,",=97
