Allele,Marker,Frequency,Population,Sample_Size
12,...7,0.11440677966101695,"1036 revised Hispanic,",=236
12,...8,0.06567796610169492,"1036 revised Hispanic,",=236
12,...9,0.08898305084745763,"1036 revised Hispanic,",=236
12,...11,0.012711864406779662,"1036 revised Hispanic,",=236
12,...13,0.036016949152542374,"1036 revised Hispanic,",=236
12,...15,0.3389830508474576,"1036 revised Hispanic,",=236
12,...16,0.2055084745762712,"1036 revised Hispanic,",=236
12,...17,0.15466101694915255,"1036 revised Hispanic,",=236
12,...18,0.1292372881355932,"1036 revised Hispanic,",=236
12,...19,0.00423728813559322,"1036 revised Hispanic,",=236
12,...21,0.21822033898305085,"1036 revised Hispanic,",=236
12,...23,0.21398305084745764,"1036 revised Hispanic,",=236
12,...24,0.2097457627118644,"1036 revised Hispanic,",=236
12,...25,0.1574468085106383,"1036 revised Hispanic,",=236
12,...26,0.1694915254237288,"1036 revised Hispanic,",=236
12,...27,0.00423728813559322,"1036 revised Hispanic,",=236
12,...29,0.1038135593220339,"1036 revised Hispanic,",=236
12.2,...8,0.012711864406779662,"1036 revised Hispanic,",=236
12.2,...27,0.00423728813559322,"1036 revised Hispanic,",=236
12.3,...13,0.00211864406779661,"1036 revised Hispanic,",=236
13,...2,0.059322033898305086,"1036 revised Hispanic,",=236
13,...3,0.2733050847457627,"1036 revised Hispanic,",=236
13,...5,0.1059322033898305,"1036 revised Hispanic,",=236
13,...6,0.13347457627118645,"1036 revised Hispanic,",=236
13,...7,0.1228813559322034,"1036 revised Hispanic,",=236
13,...8,0.22245762711864406,"1036 revised Hispanic,",=236
13,...9,0.11440677966101695,"1036 revised Hispanic,",=236
13,...11,0.00847457627118644,"1036 revised Hispanic,",=236
13,...13,0.023305084745762712,"1036 revised Hispanic,",=236
13,...14,0.006355932203389831,"1036 revised Hispanic,",=236
13,...15,0.10805084745762712,"1036 revised Hispanic,",=236
13,...16,0.1016949152542373,"1036 revised Hispanic,",=236
13,...17,0.036016949152542374,"1036 revised Hispanic,",=236
13,...18,0.2733050847457627,"1036 revised Hispanic,",=236
13,...19,0.006355932203389831,"1036 revised Hispanic,",=236
13,...21,0.07415254237288135,"1036 revised Hispanic,",=236
13,...23,0.048728813559322036,"1036 revised Hispanic,",=236
13,...24,0.1038135593220339,"1036 revised Hispanic,",=236
13,...25,0.14468085106382977,"1036 revised Hispanic,",=236
13,...26,0.09322033898305085,"1036 revised Hispanic,",=236
13,...27,0.00847457627118644,"1036 revised Hispanic,",=236
13.2,...8,0.04449152542372881,"1036 revised Hispanic,",=236
